"20369","4","21","42.01","2020-11-19 01:22:23"
"20370","4","22","1.212","2020-11-19 01:22:23"
"21788","1","21","42.01","2020-11-19 02:21:53"
"21789","1","22","1.777","2020-11-19 02:21:53"
"21836","1","21","42.01","2020-11-19 02:23:53"
"21837","1","22","1.694","2020-11-19 02:23:53"
"21848","1","21","42.01","2020-11-19 02:24:23"
"21849","1","22","1.644","2020-11-19 02:24:23"
"21860","1","21","42.01","2020-11-19 02:24:53"
"21861","1","22","1.857","2020-11-19 02:24:53"
"21872","1","21","42.01","2020-11-19 02:25:23"
"21873","1","22","1.834","2020-11-19 02:25:23"
"22028","1","21","42.01","2020-11-19 02:31:53"
"22029","1","22","1.609","2020-11-19 02:31:53"
"22256","1","21","42.01","2020-11-19 02:41:23"
"22257","1","22","1.588","2020-11-19 02:41:23"
"22268","1","21","42.01","2020-11-19 02:41:53"
"22269","1","22","1.78","2020-11-19 02:41:53"
"22280","1","21","42.01","2020-11-19 02:42:23"
"22281","1","22","1.743","2020-11-19 02:42:23"
"22292","1","21","42.01","2020-11-19 02:42:53"
"22293","1","22","1.487","2020-11-19 02:42:53"
"22304","1","21","42.01","2020-11-19 02:43:23"
"22305","1","22","1.463","2020-11-19 02:43:23"
"22316","1","21","42.01","2020-11-19 02:43:53"
"22317","1","22","1.652","2020-11-19 02:43:53"
"22328","1","21","42.01","2020-11-19 02:44:23"
"22329","1","22","1.634","2020-11-19 02:44:23"
"22376","1","21","42.01","2020-11-19 02:46:23"
"22377","1","22","1.423","2020-11-19 02:46:23"
"23468","1","21","42.01","2020-11-19 03:31:47"
"23564","1","21","42.01","2020-11-19 03:35:47"
"23852","1","21","42.01","2020-11-19 03:47:47"
"24128","1","21","42.01","2020-11-19 03:59:17"
"24584","1","21","42.01","2020-11-19 04:18:16"
"24585","1","22","1.449","2020-11-19 04:18:16"
"24596","1","21","42.01","2020-11-19 04:18:46"
"24597","1","22","1.418","2020-11-19 04:18:46"
"25184","1","21","42.01","2020-11-19 04:43:16"
"25185","1","22","1.429","2020-11-19 04:43:16"
"25868","1","21","42.01","2020-11-19 05:11:46"
"25869","1","22","1.425","2020-11-19 05:11:46"
"25892","1","21","42.01","2020-11-19 05:12:46"
"26300","1","21","42.01","2020-11-19 05:29:46"
"26301","1","22","1.586","2020-11-19 05:29:46"
"26312","1","21","42.01","2020-11-19 05:30:16"
"26313","1","22","1.342","2020-11-19 05:30:16"
"26324","1","21","42.01","2020-11-19 05:30:46"
"26325","1","22","1.315","2020-11-19 05:30:46"
"26336","1","21","42.01","2020-11-19 05:31:16"
"26337","1","22","1.478","2020-11-19 05:31:16"
"26348","1","21","42.01","2020-11-19 05:31:46"
"26349","1","22","1.449","2020-11-19 05:31:46"
"26360","1","21","42.01","2020-11-19 05:32:16"
"26361","1","22","1.243","2020-11-19 05:32:16"
"26372","1","21","42.01","2020-11-19 05:32:46"
"26373","1","22","1.222","2020-11-19 05:32:46"
"26384","1","21","42.01","2020-11-19 05:33:16"
"26385","1","22","1.375","2020-11-19 05:33:16"
"26396","1","21","42.01","2020-11-19 05:33:46"
"26397","1","22","1.35","2020-11-19 05:33:46"
"26421","1","22","1.193","2020-11-19 05:34:46"
"26852","1","21","42.01","2020-11-19 05:52:46"
"27104","1","21","42.01","2020-11-19 06:03:16"
"27105","1","22","1.215","2020-11-19 06:03:16"
"27476","1","21","42.01","2020-11-19 06:18:46"
"27477","1","22","1.201","2020-11-19 06:18:46"
"27536","1","21","42.01","2020-11-19 06:21:16"
"27537","1","22","1.359","2020-11-19 06:21:16"
"27548","1","21","42.01","2020-11-19 06:21:46"
"27549","1","22","1.317","2020-11-19 06:21:46"
"27608","1","21","42.01","2020-11-19 06:24:16"
"27609","1","22","1.154","2020-11-19 06:24:16"
"27716","1","21","42.01","2020-11-19 06:28:46"
"27717","1","22","1.141","2020-11-19 06:28:46"
"28280","1","21","42.01","2020-11-19 06:52:16"
"28281","1","22","1.322","2020-11-19 06:52:16"
"28328","1","21","42.01","2020-11-19 06:54:16"
"28329","1","22","1.274","2020-11-19 06:54:16"
"28520","1","21","42.01","2020-11-19 07:02:16"
"28521","1","22","1.284","2020-11-19 07:02:16"
"29528","1","21","42.01","2020-11-19 07:44:16"
"29529","1","22","1.268","2020-11-19 07:44:16"
"29648","1","21","42.01","2020-11-19 07:49:16"
"29649","1","22","1.1","2020-11-19 07:49:16"
"29852","1","21","23.04","2020-11-20 00:17:05"
"29855","2","21","40.13","2020-11-20 00:17:05"
"29856","2","22","2.509","2020-11-20 00:17:05"
"29867","2","21","40.13","2020-11-20 00:17:35"
"29868","2","22","2.508","2020-11-20 00:17:35"
"29912","1","21","42.01","2020-11-20 00:22:27"
"29913","1","22","1.089","2020-11-20 00:22:27"
"29936","1","21","42.01","2020-11-20 00:23:27"
"29937","1","22","1.237","2020-11-20 00:23:27"
"29948","1","21","42.01","2020-11-20 00:23:57"
"29949","1","22","1.196","2020-11-20 00:23:57"
"30116","1","21","42.01","2020-11-20 00:32:17"
"30117","1","22","1.056","2020-11-20 00:32:17"
"30128","1","21","42.01","2020-11-20 00:32:47"
"30129","1","22","1.167","2020-11-20 00:32:47"
"30131","2","21","40.12","2020-11-20 00:32:47"
"30132","2","22","2.508","2020-11-20 00:32:47"
"30140","1","21","42.01","2020-11-20 00:33:17"
"30141","1","22","1.144","2020-11-20 00:33:17"
"30143","2","21","40.13","2020-11-20 00:33:17"
"30144","2","22","2.508","2020-11-20 00:33:17"
"30146","3","21","42.01","2020-11-20 00:33:17"
"30147","3","22","1.343","2020-11-20 00:33:17"
"30152","1","21","42.01","2020-11-20 00:33:47"
"30153","1","22","0.994","2020-11-20 00:33:47"
"30155","2","21","40.13","2020-11-20 00:33:47"
"30156","2","22","2.507","2020-11-20 00:33:47"
"30158","3","21","42.01","2020-11-20 00:33:47"
"30159","3","22","1.318","2020-11-20 00:33:47"
"30162","4","22","2.507","2020-11-20 00:33:47"
"30164","1","21","42.01","2020-11-20 00:34:17"
"30165","1","22","0.982","2020-11-20 00:34:17"
"30167","2","21","40.13","2020-11-20 00:34:17"
"30168","2","22","2.507","2020-11-20 00:34:17"
"30170","3","21","42.01","2020-11-20 00:34:17"
"30171","3","22","1.3","2020-11-20 00:34:17"
"30173","4","21","38.83","2020-11-20 00:34:17"
"30174","4","22","2.504","2020-11-20 00:34:17"
"30176","1","21","42.01","2020-11-20 00:34:47"
"30177","1","22","1.1","2020-11-20 00:34:47"
"30179","2","21","40.13","2020-11-20 00:34:47"
"30180","2","22","2.506","2020-11-20 00:34:47"
"30182","3","21","42.01","2020-11-20 00:34:47"
"30183","3","22","1.287","2020-11-20 00:34:47"
"30185","4","21","38.83","2020-11-20 00:34:47"
"30186","4","22","2.504","2020-11-20 00:34:47"
"30188","1","21","42.01","2020-11-20 00:35:17"
"30189","1","22","0.958","2020-11-20 00:35:17"
"30191","2","21","40.13","2020-11-20 00:35:17"
"30192","2","22","2.506","2020-11-20 00:35:17"
"30194","3","21","42.01","2020-11-20 00:35:17"
"30195","3","22","1.281","2020-11-20 00:35:17"
"30197","4","21","38.83","2020-11-20 00:35:17"
"30198","4","22","2.504","2020-11-20 00:35:17"
"30206","3","21","42.01","2020-11-20 00:35:47"
